流水序,教育部字號,Unicode,常用字,
665,A00665,55fd,嗽,嗽
666,A00666,5614,嘔,呕
667,A00667,5606,嘆,叹
668,A00668,5609,嘉,嘉
669,A00669,560d,嘍,喽
670,A00670,560e,嘎,嘎
671,A00671,55f7,嗷,嗷
672,A00672,5616,嘖,啧
673,A00673,561f,嘟,嘟
674,A00674,5608,嘈,嘈
675,A00675,562e,嘮,唠
676,A00676,563b,嘻,嘻
677,A00677,5639,嘹,嘹
678,A00678,5632,嘲,嘲
679,A00679,563f,嘿,嘿
680,A00680,5629,嘩,哗
681,A00681,5653,噓,嘘
682,A00682,564e,噎,噎
683,A00683,5657,噗,噗
684,A00684,5674,噴,喷
685,A00685,5636,嘶,嘶
686,A00686,562f,嘯,啸
687,A00687,5630,嘰,叽
688,A00688,5659,噙,噙
689,A00689,566b,噫,噫
690,A00690,5679,噹,当
691,A00691,5669,噩,噩
692,A00692,5664,噤,噤
693,A00693,5678,噸,吨
694,A00694,5634,嘴,嘴
695,A00695,566a,噪,噪
696,A00696,5668,器,器
697,A00697,5665,噥,哝
698,A00698,5671,噱,噱
699,A00699,566f,噯,嗳
700,A00700,566c,噬,噬
701,A00701,5662,噢,噢
702,A00702,568e,嚎,嚎
703,A00703,5680,嚀,咛
704,A00704,5690,嚐,尝
705,A00705,5685,嚅,嚅
706,A00706,5687,嚇,吓
707,A00707,568f,嚏,嚏
708,A00708,5695,嚕,噜
709,A00709,56ae,嚮,向
710,A00710,56a5,嚥,咽
711,A00711,56a8,嚨,咙
712,A00712,56b7,嚷,嚷
713,A00713,56b6,嚶,嘤
714,A00714,56b4,嚴,严
715,A00715,56bc,嚼,嚼
716,A00716,56c1,囁,嗫
717,A00717,56c0,囀,啭
718,A00718,56c2,囂,嚣
719,A00719,56c8,囈,呓
720,A00720,56ca,囊,囊
721,A00721,56c9,囉,啰
722,A00722,56cc,囌,苏
723,A00723,56d1,囑,嘱
724,A00724,56db,四,四
725,A00725,56da,囚,囚
726,A00726,56e0,因,因
727,A00727,56de,回,回
728,A00728,56ea,囪,囱
729,A00729,56f0,困,困
730,A00730,56e4,囤,囤
731,A00731,56fa,固,固
732,A00732,5703,圃,圃
733,A00733,5708,圈,圈
734,A00734,570b,國,国
735,A00735,570d,圍,围
736,A00736,5712,園,园
737,A00737,5713,圓,圆
738,A00738,5718,團,团
739,A00739,5716,圖,图
740,A00740,571f,土,土
741,A00741,5733,圳,圳
742,A00742,5730,地,地
743,A00743,5728,在,在
744,A00744,572d,圭,圭
745,A00745,572c,圬,圬
746,A00746,572f,圯,圯
747,A00747,574a,坊,坊
748,A00748,5751,坑,坑
749,A00749,5740,址,址
750,A00750,574d,坍,坍
751,A00751,5747,均,均
752,A00752,574e,坎,坎
753,A00753,573e,圾,圾
754,A00754,5750,坐,坐
755,A00755,574f,坏,坏
756,A00756,5783,垃,垃
757,A00757,5777,坷,坷
758,A00758,576a,坪,坪
759,A00759,5769,坩,坩
760,A00760,5761,坡,坡
761,A00761,5766,坦,坦
762,A00762,5764,坤,坤
763,A00763,577c,坼,坼
764,A00764,5782,垂,垂
765,A00765,578b,型,型
766,A00766,57a0,垠,垠
767,A00767,57a3,垣,垣
768,A00768,57a2,垢,垢
769,A00769,57ce,城,城
770,A00770,57ae,垮,垮
771,A00771,57c2,埂,埂
772,A00772,57d4,埔,埔
773,A00773,57cb,埋,埋
774,A00774,57c3,埃,埃
775,A00775,57df,域,域
776,A00776,5805,堅,坚
777,A00777,580a,堊,垩
778,A00778,5806,堆,堆
779,A00779,57e0,埠,埠
780,A00780,57e4,埤,埤
781,A00781,57fa,基,基
782,A00782,5802,堂,堂
783,A00783,5835,堵,堵
784,A00784,57f7,執,执
785,A00785,57f9,培,培
786,A00786,582f,堯,尧
787,A00787,582a,堪,堪
788,A00788,5834,場,场
789,A00789,5824,堤,堤
790,A00790,5830,堰,堰
791,A00791,5831,報,报
792,A00792,5821,堡,堡
793,A00793,585e,塞,塞
794,A00794,5851,塑,塑
795,A00795,5858,塘,塘
796,A00796,5857,塗,涂
797,A00797,585a,塚,冢
798,A00798,5854,塔,塔
799,A00799,586b,填,填
800,A00800,584c,塌,塌
801,A00801,586d,塭,塭
802,A00802,584a,塊,块
803,A00803,5862,塢,坞
804,A00804,5875,塵,尘
805,A00805,587e,塾,塾
806,A00806,5883,境,境
807,A00807,5893,墓,墓
808,A00808,588a,墊,垫
809,A00809,5879,塹,堑
810,A00810,5885,墅,墅
811,A00811,5880,墀,墀
812,A00812,589f,墟,墟
813,A00813,589e,增,增
814,A00814,58b3,墳,坟
815,A00815,589c,墜,坠
816,A00816,58ae,墮,堕
817,A00817,58c1,壁,壁
818,A00818,58be,墾,垦
819,A00819,58c7,壇,坛
820,A00820,58c5,壅,壅
821,A00821,58d5,壕,壕
822,A00822,58d3,壓,压
823,A00823,58d1,壑,壑
824,A00824,58d9,壙,圹
825,A00825,58d8,壘,垒
826,A00826,58de,壞,坏
827,A00827,58df,壟,垄
828,A00828,58e2,壢,坜
829,A00829,58e4,壤,壤
830,A00830,58e9,壩,坝
831,A00831,58eb,士,士
832,A00832,58ec,壬,壬
833,A00833,58ef,壯,壮
834,A00834,58f9,壹,壹
835,A00835,58fa,壺,壶
836,A00836,58fd,壽,寿
837,A00837,590f,夏,夏
838,A00838,5914,夔,夔
839,A00839,5915,夕,夕
840,A00840,5916,外,外
841,A00841,5919,夙,夙
842,A00842,591a,多,多
843,A00843,591c,夜,夜
844,A00844,5920,夠,够
845,A00845,5925,夥,伙
846,A00846,5922,夢,梦
847,A00847,5924,夤,夤
848,A00848,5927,大,大
849,A00849,5929,天,天
850,A00850,592b,夫,夫
851,A00851,592a,太,太
852,A00852,592d,夭,夭
853,A00853,592e,央,央
854,A00854,5931,失,失
855,A00855,5937,夷,夷
